gene_id	fst	p_value
AT1G80680	0.32847	0
AT2G01530	0.04049	0.013085478
AT2G02100	0.07591	0.000713892
AT2G02120	0.06574	0.001964873
AT2G02130	0.06818	0.001386674
AT2G02140	0.07027	0.002048804
AT2G02147	0.01351	0.496646197
AT2G02740	0.15701	2.608e-06
AT2G03070	0.17582	4.5e-08
AT2G03300	0.01555	0.227549695
AT2G13810	0.11199	6.5868e-05
AT2G14560	0.16055	9.9e-08
AT2G14610	0.05405	0.006971501
AT2G15080	0.08571	0.000152547
AT2G15220	0.12941	1.2992e-05
AT2G15890	0.37933	0
AT2G16870	0.6377	0
AT2G17050	0.49333	0
AT2G17060	0.41739	0
AT2G17310	0.09786	0.000215452
AT2G17430	0.11557	5.234e-06
AT2G17480	0.17411	5.9e-08
AT2G19190	0.1431	1.962e-06
AT2G21100	0.10448	3.0992e-05
AT2G21110	0.18067	1.84e-07
AT2G22230	0.11794	2.964e-05
AT2G22300	0.24328	2e-09
AT2G22941	0.17468	1.39e-07
AT2G23560	0.0417	0.028169767
AT2G23960	0.02857	0.059886922
AT2G25110	0.06574	0.001964873
AT2G25620	0.0665	0.001754742
AT2G26020	0.04023	0.031826362
AT2G27050	0.12166	1.0224e-05
AT2G30110	0.17652	2.8e-08
AT3G43300	0.15102	6.35e-07
AT3G44400	0.03392	0.118833022
AT3G44630	0.01803	0.200042315
AT3G44880	0.04382	0.013145359
AT3G45860	0.06495	0.003627421
AT3G46530	0.17411	5.9e-08
AT3G46710	0.135	4.389e-06
AT3G49110	0.15158	1.365e-06
AT3G49120	0.4	0
AT3G50950	0.1453	7.13e-07
AT3G51560	0.07825	0.000399948
AT3G51570	0.27989	0
AT3G52400	0.07127	0.000622216
AT3G52960	0.02189	0.085697131
AT3G53260	0.10145	3.1607e-05
AT3G54560	0.12534	3.151e-06
AT3G54640	0.04	0.014142487
AT3G55230	0.025	0.120670179
AT3G56400	0.17838	2e-08
AT3G57330	0.18235	2.6e-08
AT3G60190	0.06218	0.002509344
AT3G60820	0.19639	3.6e-08
AT3G61182	0.02814	0.05679222
AT3G61220	0.08931	0.000127271
AT3G63360	0.07275	0.001588086
AT3G63420	0.06166	0.002699485
AT4G01050	0.09035	0.000107907
AT4G02150	0.0547	0.002914472
AT4G02600	0.19643	7e-09
AT4G02640	0.28571	0
AT4G03110	0.07508	0.000468299
AT4G03280	0.1236	2.4022e-05
AT4G03550	0.2175	0
AT4G04110	0.10811	1.732e-05
AT4G04220	0.13441	4.062e-06
AT4G04780	0.07246	0.00070548
AT4G08450	0.08467	0.000307192
AT4G08900	0.30329	0
AT4G10920	0.01657	0.226237235
AT4G11170	0.25048	0
AT4G11180	0.09524	7.5547e-05
AT4G11190	0.12	2.4809e-05
AT4G11210	0.32112	0
AT4G11340	0.15268	4.87e-07
AT4G11650	0.04706	0.008881711
AT4G11850	0.21053	3e-09
AT4G12010	0.1998	1.7e-08
AT4G12470	0.08385	0.000568256
AT4G12480	0.08013	0.000893966
AT4G12560	0.08824	0.000150455
AT4G12720	0.0998	0.000152208
AT4G13920	0.09495	0.000122267
AT4G14060	0.12121	6.156e-06
AT4G14370	0.13255	6.787e-06
AT4G16260	0.05271	0.006573404
AT4G16860	0.01298	0.496966354
AT4G19050	0.10776	5.0393e-05
AT4G19530	0.21037	8e-09
AT4G19660	0.10986	1.3437e-05
AT4G19910	0.08049	0.000646907
AT4G19920	0.02664	0.121039169
AT4G19925	0.07246	0.00070548
AT4G20380	0.24038	0
AT4G20970	0.06061	0.003161819
AT4G21610	0.13646	1.81e-06
AT4G22300	0.09301	0.0003386
AT4G23130	0.19792	3e-09
AT4G23210	0.23026	0
AT4G23270	0.44616	0
AT4G23280	0.54246	0
AT4G23310	0.22928	0
AT4G23510	0.20287	2.6e-08
AT4G23570	0.05486	0.006453489
AT4G23670	0.07411	0.001045778
AT4G23680	0.04971	0.008309274
AT4G24250	0.20031	2.8e-08
AT4G24460	0.04566	0.01007963
AT4G26740	0.14308	5.51e-07
AT4G26850	0.09231	0.000359347
AT4G29810	0.08673	0.000129628
AT4G30650	0.0302	0.053373399
AT4G31750	0.16022	5.79e-07
AT4G33300	0.34483	0
AT4G33680	0.30103	0
AT4G36150	0.11389	5.8621e-05
AT4G36690	0.10023	6.383e-05
AT4G37000	0.08571	0.000152547
AT4G37460	0.14758	2.018e-06
AT4G37870	0.05271	0.006573404
AT4G37930	0.1265	4.74e-06
AT4G39030	0.43906	0
AT5G04230	0.10725	1.5779e-05
AT5G04720	0.1203	4.083e-06
AT5G04870	0.21534	1e-09
AT5G05170	0.13306	2.012e-05
AT5G05680	0.08132	0.000321473
AT5G06290	0.13654	7.476e-06
AT5G06320	0.13876	5.726e-06
AT5G06860	0.09524	7.5547e-05
AT5G06870	0.06173	0.002042589
AT5G08280	0.12626	4.466e-06
AT5G09230	0.06849	0.000718137
AT5G10030	0.12346	1.2147e-05
AT5G10450	0.13971	5.51e-07
AT5G10520	0.40687	0
AT5G11250	0.18823	1.89e-07
AT5G13160	0.22715	0
AT5G13320	0.13079	1.2496e-05
AT5G13530	0.10693	2.0971e-05
AT5G14740	0.06103	0.002276685
AT5G15090	0.32213	0
AT5G15410	0.34195	0
AT5G16000	0.05641	0.006676188
AT5G17680	0.19755	1.5e-08
AT5G17970	0.07353	0.001780009
AT5G18360	0.17498	3.78e-07
AT5G18370	0.23511	3e-09
AT5G19510	0.11642	1.3135e-05
AT5G22330	0.16493	1.15e-07
AT5G22690	0.15597	1.03e-07
AT5G23400	0.2885	0
AT5G24400	0.11022	1.5556e-05
AT5G24530	0.16667	8.6e-08
AT5G24590	0.34188	0
AT5G24780	0.16136	9.2e-08
AT5G25110	0.23661	3e-09
AT5G25910	0.11028	2.031e-05
AT5G26920	0.17085	3.71e-07
AT5G27060	0.13363	2.856e-06
AT5G28010	0.06766	0.001442459
AT5G36910	0.16256	4.57e-07
AT5G36970	0.01879	0.116130726
AT5G38330	0.10572	2.5459e-05
AT5G38340	0.18546	1.4e-08
AT5G38350	0.08882	0.000457302
AT5G38850	0.099	0.000179999
AT5G38900	0.05786	0.002866819
AT5G39580	0.0489	0.010670582
AT5G40060	0.12896	2.562e-06
AT5G40090	0.08145	0.000506838
AT5G40100	0.10811	1.732e-05
AT5G40170	0.20881	2.9e-08
AT5G40910	7e-05	1
AT5G41540	0.05265	0.015137778
AT5G41550	0.14723	4.674e-06
AT5G41740	0.01272	0.498995028
AT5G41750	0.01229	0.501739423
AT5G42500	0.05339	0.006717064
AT5G42740	0.09204	0.000124819
AT5G42980	0.16493	1.15e-07
AT5G43470	0.07917	0.001087224
AT5G44030	0.052	0.006736632
AT5G44420	0.07694	0.000664299
AT5G44430	0.01429	0.496456151
AT5G44510	0.1082	6.3682e-05
AT5G44900	0.06589	0.002590169
AT5G44910	0.05624	0.0028912
AT5G44920	0.09769	7.3054e-05
AT5G45000	0.09744	6.4989e-05
AT5G45060	0.1462	6.15e-07
AT5G45110	0.13971	7.358e-06
AT5G45200	0.38044	0
AT5G45210	0.12175	1.0114e-05
AT5G45510	0.24003	3e-09
AT5G46260	0.12832	1.3119e-05
AT5G46270	0.18546	1.4e-08
AT5G46330	0.16412	1.141e-06
AT5G46450	0.38182	0
AT5G46470	0.30864	0
AT5G47220	0.01741	0.201378484
AT5G47250	0.10145	3.1607e-05
AT5G47260	0.10848	6.8953e-05
AT5G47910	0.26308	0
AT5G48380	0.12121	6.156e-06
AT5G48620	0.02088	0.178117048
AT5G48657	0.22134	2e-09
AT5G48810	0.09035	0.000107907
AT5G49040	0.04494	0.014117257
AT5G49520	0.05547	0.005161244
AT5G50850	0.0576	0.003447776
AT5G52640	0.10622	6.8584e-05
AT5G53760	0.25646	0
AT5G56360	0.1281	8.236e-06
AT5G57060	0.08075	0.000389566
AT5G58120	0.42105	0
AT5G58260	0.06766	0.001442459
AT5G59890	0.22581	0
AT5G63020	0.11297	1.313e-05
AT5G63840	0.25042	0
AT5G64120	0.08333	0.00015455
AT5G64440	0.43067	0
AT5G64930	0.19562	5e-09
AT5G65210	0.0417	0.028169767
AT5G65970	0.49871	0
AT5G66190	0.22168	1e-08
AT5G66900	0.09832	7.2943e-05
AT5G66910	0.19562	5e-09
